Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,Id.1,Id
Lucia Banci,Lucia Banci,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,lucia banci,Lucia Banci
Mateusz Kijewski,Mateusz Kijewski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,mateusz kijewski,Mateusz Kijewski
Jan Grudniewicz,Jan Grudniewicz,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,jan grudniewicz,Jan Grudniewicz
Aleksandra Parteka,Aleksandra Parteka,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,aleksandra parteka,Aleksandra Parteka
Group Eurodrg,Group Eurodrg,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,group eurodrg,Group Eurodrg
Francesco Berti,Francesco Berti,Noise,,1,1,francesco berti,Francesco Berti
Timo Baas,Timo Baas,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,timo baas,Timo Baas
Matthias Busse,Matthias Busse,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,matthias busse,Matthias Busse
Mikkel Barslund,Mikkel Barslund,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,mikkel barslund,Mikkel Barslund
Mario Izquierdo peinado,Mario Izquierdo peinado,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,mario izquierdo peinado,Mario Izquierdo Peinado
Aneta Stefanczyk,Aneta Stefanczyk,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,aneta stefanczyk,Aneta Stefanczyk
Juan F jimeno,Juan F jimeno,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,juan f jimeno,Juan F Jimeno
Aitor Lacuesta,Aitor Lacuesta,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,aitor lacuesta,Aitor Lacuesta
Bela Galgoczi,Bela Galgoczi,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,bela galgoczi,Bela Galgoczi
Janine Leschke,Janine Leschke,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,janine leschke,Janine Leschke
Carlos Vargas-silva,Carlos Vargas-silva,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,carlos vargassilva,Carlos Vargas-Silva
Caterina Migliorini,Caterina Migliorini,Noise,,1,1,caterina migliorini,Caterina Migliorini
Joanna Nestorowicz,Joanna Nestorowicz,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,joanna nestorowicz,Joanna Nestorowicz
Maciej Bitner,Maciej Bitner,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,maciej bitner,Maciej Bitner
Maria Swiderek,Maria Swiderek,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,maria swiderek,Maria Swiderek
Urszula Siedlecka,Urszula Siedlecka,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,urszula siedlecka,Urszula Siedlecka
Ain Aaviksoo,Ain Aaviksoo,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,ain aaviksoo,Ain Aaviksoo
Janek Saluse,Janek Saluse,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,janek saluse,Janek Saluse
Gerli Paat-ahi,Gerli Paat-ahi,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,gerli paatahi,Gerli Paat-Ahi
Piotr Bieniek,Piotr Bieniek,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",1,1,piotr bieniek,Piotr Bieniek
Josip Franic,Josip Franic,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,josip franic,Josip Franic
Heini Ahtiainen,Heini Ahtiainen,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,heini ahtiainen,Heini Ahtiainen
Velde Der van lucas,Velde Der van lucas,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,velde der van lucas,Velde Der Van Lucas
William H greene,William H greene,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,william h greene,William H Greene
Danny Campbell,Danny Campbell,Noise,,1,1,danny campbell,Danny Campbell
Kornelia Wisniewska,Kornelia Wisniewska,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,kornelia wisniewska,Kornelia Wisniewska
Anni Huhtala,Anni Huhtala,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,anni huhtala,Anni Huhtala
Izabela Grabowska,Izabela Grabowska,Noise,,1,1,izabela grabowska,Izabela Grabowska
Monika Szulecka,Monika Szulecka,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,monika szulecka,Monika Szulecka
Simone Ciofi-baffoni,Simone Ciofi-baffoni,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,simone ciofibaffoni,Simone Ciofi-Baffoni
Arshia Hashemi,Arshia Hashemi,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,arshia hashemi,Arshia Hashemi
Steve Bond,Steve Bond,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,steve bond,Steve Bond
Marcin Sienicki,Marcin Sienicki,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,marcin sienicki,Marcin Sienicki
Jacek Kocerka,Jacek Kocerka,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,jacek kocerka,Jacek Kocerka
Malgorzata Markiewicz,Malgorzata Markiewicz,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,malgorzata markiewicz,Malgorzata Markiewicz
Manuele Martinelli,Manuele Martinelli,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,manuele martinelli,Manuele Martinelli
Dorota Mirowska-wierzbicka,Dorota Mirowska-wierzbicka,Noise,,1,1,dorota mirowskawierzbicka,Dorota Mirowska-Wierzbicka
Peep Palumaa,Peep Palumaa,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,peep palumaa,Peep Palumaa
Maria Lissowska,Maria Lissowska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,maria lissowska,Maria Lissowska
Krystyna Slany,Krystyna Slany,Noise,,1,1,krystyna slany,Krystyna Slany
Anna Turovtseva,Anna Turovtseva,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,anna turovtseva,Anna Turovtseva
Rafal Sieradzki,Rafal Sieradzki,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,rafal sieradzki,Rafal Sieradzki
Oleh Bilyk,Oleh Bilyk,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,oleh bilyk,Oleh Bilyk
Anna Legowska,Anna Legowska,Noise,,1,1,anna legowska,Anna Legowska
Ivano Bertini,Ivano Bertini,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,ivano bertini,Ivano Bertini
Yu-ting Chiang,Yu-ting Chiang,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,yuting chiang,Yu-Ting Chiang
Quynh Bui,Quynh Bui,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,quynh bui,Quynh Bui
Nguyen Vo,Nguyen Vo,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,nguyen vo,Nguyen Vo
Ireneusz Miernik,Ireneusz Miernik,Noise,,1,1,miernik ireneusz,Miernik Ireneusz
Amarachukwu Anthony anyanwu,Amarachukwu Anthony anyanwu,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,amarachukwu anthony anyanwu,Amarachukwu Anthony Anyanwu
Aleksandra Naganska,Aleksandra Naganska,Noise,,1,1,aleksandra naganska,Aleksandra Naganska
Petch Jc,Petch Jc,Noise,,1,1,petch jc,Petch Jc
Redelsperger J-l,Redelsperger J-l,Noise,,1,1,redelsperger jl,Redelsperger J-L
Chaboureau J-p,Chaboureau J-p,Noise,,1,1,chaboureau jp,Chaboureau J-P
Michal Sitek,Michal Sitek,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,michal sitek,Michal Sitek
Ibne Hassan,Ibne Hassan,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,ibne hassan,Ibne Hassan
Ijaz Hussain shah,Ijaz Hussain shah,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,ijaz hussain shah,Ijaz Hussain Shah
Mohammad Saeed pourjafar,Mohammad Saeed pourjafar,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,mohammad saeed pourjafar,Mohammad Saeed Pourjafar
Pawel Kowal,Pawel Kowal,Noise,,1,1,pawel kowal,Pawel Kowal
Ugochukwu Michael anyanwu,Ugochukwu Michael anyanwu,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,ugochukwu michael anyanwu,Ugochukwu Michael Anyanwu
Giang Hien tran,Giang Hien tran,Noise,,1,1,giang hien tran,Giang Hien Tran
Andrzej Cielik,Andrzej Cielik,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,andrzej cielik,Andrzej Cielik
Malgorzata Pawlowska,Malgorzata Pawlowska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,malgorzata pawlowska,Malgorzata Pawlowska
Jacek Socha,Jacek Socha,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,jacek socha,Jacek Socha
Maciej Pogorzelski,Maciej Pogorzelski,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,maciej pogorzelski,Maciej Pogorzelski
Markowska A,Markowska A,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,markowska a,Markowska A
Sobolewski Maciej,Sobolewski Maciej,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,maciej sobolewski,Maciej Sobolewski
Miernik Ireneusz,Miernik Ireneusz,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,ireneusz miernik,Ireneusz Miernik
Kopczewski Tomasz,Kopczewski Tomasz,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,tomasz kopczewski,Tomasz Kopczewski
Arjun S bedi,Arjun S bedi,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,arjun s bedi,Arjun S Bedi
Woo Gon kim,Woo Gon kim,Noise,,1,1,woo gon kim,Woo Gon Kim
Magdalena Kaniewska,Magdalena Kaniewska,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,magdalena kaniewska,Magdalena Kaniewska
Urszula Sztanderska,Urszula Sztanderska,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,urszula sztanderska,Urszula Sztanderska
Mlochowska Magdalena,Mlochowska Magdalena,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,mlochowska magdalena,Mlochowska Magdalena
Samar Zaineldeen,Samar Zaineldeen,Noise,,1,1,samar zaineldeen,Samar Zaineldeen
Shunrong Jiang,Shunrong Jiang,Noise,,1,1,shunrong jiang,Shunrong Jiang
Liangmin Wang,Liangmin Wang,Noise,,1,1,liangmin wang,Liangmin Wang
Muhammad Sohail,Muhammad Sohail,Noise,,1,1,muhammad sohail,Muhammad Sohail
Raja Irfan sabir,Raja Irfan sabir,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,raja irfan sabir,Raja Irfan Sabir
Hafiz Muhammad arshad,Hafiz Muhammad arshad,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,hafiz muhammad arshad,Hafiz Muhammad Arshad
Shahid Mohammad khan ghauri,Shahid Mohammad khan ghauri,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,shahid mohammad khan ghauri,Shahid Mohammad Khan Ghauri
Kula Grzegorz,Kula Grzegorz,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,grzegorz kula,Grzegorz Kula
Bukowska Grazyna,Bukowska Grazyna,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,grazyna bukowska,Grazyna Bukowska
Ali Hashemizadeh,Ali Hashemizadeh,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,ali hashemizadeh,Ali Hashemizadeh
Corinna Hoose,Corinna Hoose,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,corinna hoose,Corinna Hoose
Liangze Ma,Liangze Ma,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,liangze ma,Liangze Ma
Cheinet S,Cheinet S,Noise,,1,1,cheinet s,Cheinet S
Muhammad Ahtisham ul haq,Muhammad Ahtisham ul haq,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,muhammad ahtisham ul haq,Muhammad Ahtisham Ul Haq
Karine Nyborg,Karine Nyborg,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,karine nyborg,Karine Nyborg
Metcalf H,Metcalf H,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,metcalf h,Metcalf H
Muhammad Junaid,Muhammad Junaid,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",1,1,muhammad junaid,Muhammad Junaid
Li Mingxing,Li Mingxing,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,mingxing li,Mingxing Li
Ma Zhiqiang,Ma Zhiqiang,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,zhiqiang ma,Zhiqiang Ma
Kopanska Agnieszka,Kopanska Agnieszka,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,agnieszka kopanska,Agnieszka Kopanska
Rab Nawaz lodhi,Rab Nawaz lodhi,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,rab nawaz lodhi,Rab Nawaz Lodhi
Usama Awan,Usama Awan,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,usama awan,Usama Awan
Muhammad Fahad anwar,Muhammad Fahad anwar,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,muhammad fahad anwar,Muhammad Fahad Anwar
Qamar Uz zaman,Qamar Uz zaman,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,qamar uz zaman malik,Qamar Uz Zaman
Syed Iftikhar ul hassan,Syed Iftikhar ul hassan,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,syed iftikhar ul hassan,Syed Iftikhar Ul Hassan
Khurram Abbas,Khurram Abbas,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,khurram abbas,Khurram Abbas
Kateryna Boichenko,Kateryna Boichenko,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,kateryna boichenko,Kateryna Boichenko
Mario Nuno mata,Mario Nuno mata,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,mario nuno mata,Mario Nuno Mata
Stefan Cristian gherghina,Stefan Cristian gherghina,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,stefan cristian gherghina,Stefan Cristian Gherghina
Shufang Xiao,Shufang Xiao,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,shufang xiao,Shufang Xiao
Fenni Lian,Fenni Lian,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,fenni lian,Fenni Lian
Mingxing Li,Mingxing Li,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,li mingxing,Li Mingxing
Jerry Y harrington,Jerry Y harrington,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,jerry y harrington,Jerry Y Harrington
Ann M fridlind,Ann M fridlind,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,ann m fridlind,Ann M Fridlind
Lier-walqui Van marcus,Lier-walqui Van marcus,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,lierwalqui van marcus,Lier-Walqui Van Marcus
Jan Raczka,Jan Raczka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,jan raczka,Jan Raczka
Roman Asinski,Roman Asinski,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,roman asinski,Roman Asinski
Tony Levitas,Tony Levitas,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,tony levitas,Tony Levitas
Naeem Akhtar,Naeem Akhtar,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",1,1,naeem akhtar,Naeem Akhtar
Akio Arakawa,Akio Arakawa,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,akio arakawa,Akio Arakawa
Ayesha Riaz,Ayesha Riaz,Noise,,1,1,ayesha riaz,Ayesha Riaz
Amber Iqbal,Amber Iqbal,Noise,,1,1,amber iqbal,Amber Iqbal
Xianhua Fan,Xianhua Fan,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,xianhua fan,Xianhua Fan
Abdul Haseeb,Abdul Haseeb,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,abdul haseeb,Abdul Haseeb
Muhammad Wasif zafar,Muhammad Wasif zafar,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,muhammad wasif zafar,Muhammad Wasif Zafar
Zhiqiang Ma,Zhiqiang Ma,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,ma zhiqiang,Ma Zhiqiang
Faisal Mehmood mirza,Faisal Mehmood mirza,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,faisal mehmood mirza,Faisal Mehmood Mirza
Forbes R,Forbes R,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,forbes r,Forbes R
Cheng A,Cheng A,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,cheng a,Cheng A
Grabowski Ww,Grabowski Ww,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,grabowski ww,Grabowski Ww
Reeks Mw,Reeks Mw,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,reeks mw,Reeks Mw
Szymon P malinowski,Szymon P malinowski,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,szymon p malinowski,Szymon P Malinowski
Ijzermans Rha,Ijzermans Rha,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,ijzermans rha,Ijzermans Rha
Collins Lr,Collins Lr,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,collins lr,Collins Lr
Brenguier J-l,Brenguier J-l,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,brenguier jl,Brenguier J-L
Peter Bartello,Peter Bartello,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,peter bartello,Peter Bartello
Vassilicos Jc,Vassilicos Jc,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,vassilicos jc,Vassilicos Jc
Diedenhoven Van bastiaan,Diedenhoven Van bastiaan,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,diedenhoven van bastiaan,Diedenhoven Van Bastiaan
Shin-ichiro Shima,Shin-ichiro Shima,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,shinichiro shima,Shin-Ichiro Shima
Karly J reimel,Karly J reimel,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,karly j reimel,Karly J Reimel
Olivier P prat,Olivier P prat,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,olivier p prat,Olivier P Prat
Derek J posselt,Derek J posselt,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,derek j posselt,Derek J Posselt
Hanna Pawlowska,Hanna Pawlowska,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,hanna pawlowska,Hanna Pawlowska
Lulin Xue,Lulin Xue,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,lulin xue,Lulin Xue
Adele Ossareh,Adele Ossareh,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,adele ossareh,Adele Ossareh
Wang L-p,Wang L-p,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,wang lp,Wang L-P
Guichard F,Guichard F,Noise,,1,1,francoise guichard,Guichard F
William D hall,William D hall,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,william d hall,William D Hall
Anna Zurawiecka,Anna Zurawiecka,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,anna zurawiecka,Anna Zurawiecka
Grazyna Szymanska,Grazyna Szymanska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,grazyna szymanska,Grazyna Szymanska
Tomasini M,Tomasini M,Noise,,1,1,tomasini m,Tomasini M
Tailleux R,Tailleux R,Noise,,1,1,tailleux r,Tailleux R
Piriou J-m,Piriou J-m,Noise,,1,1,piriou jm,Piriou J-M
Warhaft Z,Warhaft Z,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,warhaft z,Warhaft Z
Kohler M,Kohler M,Noise,,1,1,kohler m,Kohler M
Grenier H,Grenier H,Noise,,1,1,grenier h,Grenier H
Bogdan Rosa,Bogdan Rosa,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,bogdan rosa,Bogdan Rosa
Wei-kuo Tao,Wei-kuo Tao,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,weikuo tao,Wei-Kuo Tao
Donghai Wang,Donghai Wang,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,donghai wang,Donghai Wang
Steven K krueger,Steven K krueger,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,steven k krueger,Steven K Krueger
Siwinska-gorzelak Joanna,Siwinska-gorzelak Joanna,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,joanna siwinskagorzelak,Joanna Siwinska-Gorzelak
Alexei Korolev,Alexei Korolev,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,alexei korolev,Alexei Korolev
Matthew R kumjian,Matthew R kumjian,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,matthew r kumjian,Matthew R Kumjian
Jason A milbrandt,Jason A milbrandt,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,jason a milbrandt,Jason A Milbrandt
Lang S,Lang S,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,lang s,Lang S
Nasuno T,Nasuno T,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,nasuno t,Nasuno T
Tao W-k,Tao W-k,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,tao wk,Tao W-K
Wong R,Wong R,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,wong r,Wong R
Xu K-m,Xu K-m,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,xu km,Xu K-M
Kuan-man Xu,Kuan-man Xu,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,kuanman xu,Kuan-Man Xu
Richard T cederwall,Richard T cederwall,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,richard t cederwall,Richard T Cederwall
Leo J donner,Leo J donner,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,leo j donner,Leo J Donner
Daniel E johnson,Daniel E johnson,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,daniel e johnson,Daniel E Johnson
Jon C petch,Jon C petch,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,jon c petch,Jon C Petch
Shao Cheng xie,Shao Cheng xie,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,shao cheng xie,Shao Cheng Xie
David A randall,David A randall,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,david a randall,David A Randall
Charles J seman,Charles J seman,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,charles j seman,Charles J Seman
Natasha Malyarenko,Natasha Malyarenko,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,natasha malyarenko,Natasha Malyarenko
Karol J partyka,Karol J partyka,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,karol j partyka,Karol J Partyka
Lucas Goczek,Lucas Goczek,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",1,1,lucas goczek,Lucas Goczek
Ivan Skliarov,Ivan Skliarov,Noise,,1,1,ivan skliarov,Ivan Skliarov
Ewa Witkowska,Ewa Witkowska,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,ewa witkowska,Ewa Witkowska
Terry L clark,Terry L clark,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,terry l clark,Terry L Clark
Halliwell C,Halliwell C,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,halliwell c,Halliwell C
Moncrieff Mw,Moncrieff Mw,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,moncrieff mw,Moncrieff Mw
Orlando Ayala,Orlando Ayala,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,orlando ayala,Orlando Ayala
