Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount
Mingxing Li,Mingxing Li,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Liangze Ma,Liangze Ma,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Muhammad Ahtisham ul haq,Muhammad Ahtisham ul Haq,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Xianhua Fan,Xianhua Fan,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Amber Iqbal,Amber Iqbal,Noise,,1,1
Ayesha Riaz,Ayesha Riaz,Noise,,1,1
David Randall,David Randall,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Marat Khairoutdinov,Marat Khairoutdinov,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",2,2
Akio Arakawa,Akio Arakawa,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Wojciech W grabowski,Wojciech W Grabowski,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",17,13
Lian-ping Wang,Lian-Ping Wang,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",2,2
Piotr K smolarkiewicz,Piotr K Smolarkiewicz,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",2,1
Hugh Morrison,Hugh Morrison,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",4,3
Lierwalqui Van marcus,Marcus van Lier‐Walqui,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Ann M fridlind,Ann M Fridlind,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Jerry Y harrington,Jerry Y Harrington,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Corinna Hoose,Corinna Hoose,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Alexei Korolev,Alexei Korolev,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Matthew R kumjian,Matthew R Kumjian,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Jason A milbrandt,Jason A Milbrandt,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Hanna Pawlowska,Hanna Pawlowska,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Derek J posselt,Derek J Posselt,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Olivier P prat,Olivier P Prat,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Karly J reimel,Karly J Reimel,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Shinichiro Shima,Shin‐Ichiro Shima,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Diedenhoven Van bastiaan,Bastiaan van Diedenhoven,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Lulin Xue,Lulin Xue,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Devenish Bj,BJ Devenish,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Peter Bartello,Peter Bartello,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Brenguier Jl,J‐L Brenguier,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Collins Lr,LR Collins,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Ijzermans Rha,RHA IJzermans,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Szymon P malinowski,Szymon P Malinowski,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Reeks Mw,MW Reeks,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Vassilicos Jc,JC Vassilicos,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Wang Lp,L‐P Wang,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Warhaft Z,Z Warhaft,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Guichard F,F Guichard,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Petch Jc,JC Petch,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Redelsperger Jl,J‐L Redelsperger,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Bechtold P,P Bechtold,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",2,2
Chaboureau Jp,J‐P Chaboureau,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Cheinet S,S Cheinet,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Grabowski W,W Grabowski,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Grenier H,H Grenier,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Jones Cg,CG Jones,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Kohler M,M Köhler,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Piriou Jm,J‐M Piriou,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Tailleux R,R Tailleux,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Tomasini M,M Tomasini,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Xiaoqing Wu,Xiaoqing Wu,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",2,2
Mitchell W moncrieff,Mitchell W Moncrieff,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",2,2
William D hall,William D Hall,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Grabowski Ww,WW Grabowski,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Cheng A,A Cheng,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Forbes R,R Forbes,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Halliwell C,C Halliwell,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Khairoutdinov M,M Khairoutdinov,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Lang S,S Lang,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Nasuno T,T Nasuno,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Petch J,J Petch,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Tao Wk,W‐K Tao,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Wong R,R Wong,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Wu X,X Wu,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Xu Km,K‐M Xu,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Kuanman Xu,Kuan‐Man Xu,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Richard T cederwall,Richard T Cederwall,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Leo J donner,Leo J Donner,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Francoise Guichard,Françoise Guichard,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Daniel E johnson,Daniel E Johnson,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Steven K krueger,Steven K Krueger,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Jon C petch,Jon C Petch,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
David A randall,David A Randall,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Charles J seman,Charles J Seman,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Weikuo Tao,Wei‐Kuo Tao,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Donghai Wang,Donghai Wang,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Shao Cheng xie,Shao Cheng Xie,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Yio John j,J John Yio,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Minghua Zhang,Ming‐Hua Zhang,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Orlando Ayala,Orlando Ayala,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Bogdan Rosa,Bogdan Rosa,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Moncrieff Mw,MW Moncrieff,Cluster 14,"spatial, location, model, different, learning, distance, point, method, topic, firm",1,1
Terry L clark,Terry L Clark,Cluster 15,"cloud, model, ii, simulation, effect, evolution, performed, numerical, dimension, cycle",1,1
Ewa Witkowska,Ewa Witkowska,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",1,1
Bartosz Witkowski,Bartosz Witkowski,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",3,2
Ivan Skliarov,Ivan Skliarov,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Lucas Goczek,Lucas Goczek,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Dagmara Mycielska,Dagmara Mycielska,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",3,3
Karol J partyka,Karol J Partyka,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Natasha Malyarenko,Natasha Malyarenko,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Ewa Rozanska,Ewa Różańska,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",8,8
Magorzata Macuda,Małgorzata Macuda,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",2,2
Maria Kiedrowska,Maria Kiedrowska,Noise,,0,0
Thomas Ulen,Thomas Ulen,Noise,,0,0
Zakrzewski G,Zakrzewski G,Noise,,0,0
Cichocki Stanisaw,Cichocki Stanisaw,Noise,,0,0
Goczek L,Goczek L,Noise,,0,0
Lewkowicz Jacek,Lewkowicz Jacek,Noise,,0,0
Pawe Gieratowski,Pawe Gieratowski,Noise,,0,0
Gebska J,Gebska J,Noise,,0,0
Marek Cieslak,Marek Cieslak,Noise,,0,0
Dong Qu dariusz gatarek,Dong Qu dariusz gatarek,Noise,,0,0
Remigiusz Napiecek,Remigiusz Napiecek,Noise,,0,0
Rafa Slubowski,Rafa Slubowski,Noise,,0,0
Karbownik B,Karbownik B,Noise,,0,0
Mroczek Wojciech,Mroczek Wojciech,Noise,,0,0
Michalek J,Michalek J,Noise,,0,0
Antosiewicz M,Antosiewicz M,Noise,,0,0
Agnieszka Stazka-gawrysiak,Agnieszka Stazka-gawrysiak,Noise,,0,0
Jabecki P.,Jabecki P.,Noise,,0,0
Ahmad W,Ahmad W,Noise,,0,0
Wisniewski R,Wisniewski R,Noise,,0,0
Cichocki S,Cichocki S,Noise,,0,0
ukasz Goczek,ukasz Goczek,Noise,,0,0
Micha esyk,Micha esyk,Noise,,0,0
Brzozowski M,Brzozowski M,Noise,,0,0
Krawczyk A,Krawczyk A,Noise,,0,0
ukasz Kwiatkowski,ukasz Kwiatkowski,Noise,,0,0
Kwasowski M,Kwasowski M,Noise,,0,0
Kowal P,Kowal P,Noise,,0,0
Paulina Broniatowska,Paulina Broniatowska,Noise,,0,0
Wanda Karpinska-mizielinska,Wanda Karpinska-mizielinska,Noise,,0,0
Witkowski B,Witkowski B,Noise,,0,0
Goczek Ukasz l,Goczek Ukasz l,Noise,,0,0
Saeed R,Saeed R,Noise,,0,0
Dawid Garstecki,Dawid Garstecki,Noise,,0,0
Cukrowska E,Cukrowska E,Noise,,0,0
Barbara Bobrowicz,Barbara Bobrowicz,Noise,,0,0
Dorabialski W,Dorabialski W,Noise,,0,0
Marzena Remlein,Marzena Remlein,Noise,,0,0
John B taylor,John B taylor,Noise,,0,0
Engelsatter B,Engelsatter B,Noise,,0,0
Aldona Kamela-sowinska,Aldona Kamela-sowinska,Noise,,0,0
Rola-janicka Magdalena,Rola-janicka Magdalena,Noise,,0,0
Tomasz Piasecki,Tomasz Piasecki,Noise,,0,0
Magdalena Rola-janicka,Magdalena Rola-janicka,Noise,,0,0
Izabela Tymoczko d,Izabela Tymoczko d,Noise,,0,0
Szpor A,Szpor A,Noise,,0,0
Rozanska E,Rozanska E,Noise,,0,0
Kokoszczynski,Kokoszczynski,Noise,,0,0
Nowakowski Z,Nowakowski Z,Noise,,0,0
Rubaszek Micha,Rubaszek Micha,Noise,,0,0
Marcin Tomkiewicz,Marcin Tomkiewicz,Noise,,0,0
Wisniewski M,Wisniewski M,Noise,,0,0
Kamil Wierus,Kamil Wierus,Noise,,0,0
Tomkiewicz Marcin,Tomkiewicz Marcin,Noise,,0,0
Wojciech Fliegner,Wojciech Fliegner,Noise,,0,0
Popowski Piotr,Popowski Piotr,Noise,,0,0
Sakowski P.,Sakowski P.,Noise,,0,0
Mycielski J,Mycielski J,Noise,,0,0
Beata Bierut,Beata Bierut,Noise,,0,0
Ryba J,Ryba J,Noise,,0,0
Arshad Hm,Arshad Hm,Noise,,0,0
Elzbieta Izabela szczepankiewicz,Elzbieta Izabela szczepankiewicz,Noise,,0,0
Kubielas S,Kubielas S,Noise,,0,0
Agnieszka Piechocka-kauzna,Agnieszka Piechocka-kauzna,Noise,,0,0
Marcinkowska I,Marcinkowska I,Noise,,0,0
Robert Cooter,Robert Cooter,Noise,,0,0
Bukowski M,Bukowski M,Noise,,0,0
Puchalska Katarzyna,Puchalska Katarzyna,Noise,,0,0
Leszek ankiewicz,Leszek ankiewicz,Noise,,0,0
Slubowski Rafa,Slubowski Rafa,Noise,,0,0
Growiec Jakub,Growiec Jakub,Noise,,0,0
Wójcik,Wójcik,Noise,,0,0
J.,J.,Noise,,0,0
Anthony Levitas,Anthony Levitas,Noise,,0,0
Tomasz Michaek,Tomasz Michaek,Noise,,0,0
Rosik P,Rosik P,Noise,,0,0
Nicinska A,Nicinska A,Noise,,0,0
Niechcia Marek,Niechcia Marek,Noise,,0,0
Grela Marcin,Grela Marcin,Noise,,0,0
Julian Zawistowski,Julian Zawistowski,Noise,,0,0
Myck M,Myck M,Noise,,0,0
Kuda Janusz,Kuda Janusz,Noise,,0,0
Piasecki Tomasz,Piasecki Tomasz,Noise,,0,0
Kalbarczyk M,Kalbarczyk M,Noise,,0,0
Saczuk K,Saczuk K,Noise,,0,0
Piotr Gut,Piotr Gut,Noise,,0,0
Marek uczkowski,Marek uczkowski,Noise,,0,0
Zotnicki A,Zotnicki A,Noise,,0,0
Gilis-januszewska A,Gilis-januszewska A,Noise,,0,0
R.,R.,Noise,,0,0
Michaek Tomasz,Michaek Tomasz,Noise,,0,0
Sztanderska U,Sztanderska U,Noise,,0,0
Izabela D tymoczko,Izabela D tymoczko,Noise,,0,0
Gomb K,Gomb K,Noise,,0,0
Wtorek J,Wtorek J,Noise,,0,0
Ślepaczuk,Ślepaczuk,Noise,,0,0
Anna Marzec,Anna Marzec,Noise,,0,0
Jakubowski M,Jakubowski M,Noise,,0,0
Tomasz yziak,Tomasz yziak,Noise,,0,0
Suleja Wawrzyniec,Suleja Wawrzyniec,Noise,,0,0
Kula G,Kula G,Noise,,0,0
Zub M,Zub M,Noise,,0,0
Bedowski J,Bedowski J,Noise,,0,0
Malgorzata Pawlowska,Malgorzata Pawlowska,Noise,,0,0
Gradzewicz Micha,Gradzewicz Micha,Noise,,0,0
Magorzata Czerny,Magorzata Czerny,Noise,,0,0
Rokicki B,Rokicki B,Noise,,0,0
Wawrzyniec Suleja,Wawrzyniec Suleja,Noise,,0,0
Tadeusz Smuga,Tadeusz Smuga,Noise,,0,0
Macuda M,Macuda M,Noise,,0,0
Muck Jakub,Muck Jakub,Noise,,0,0
Wilkin J,Wilkin J,Noise,,0,0
Walczyk Konrad kopczewska katarzyna,Walczyk Konrad kopczewska katarzyna,Noise,,0,0
Joanna Bazynska,Joanna Bazynska,Noise,,0,0
Kosior Anna,Kosior Anna,Noise,,0,0
Zaidi Sah,Zaidi Sah,Noise,,0,0
Maurice Obstfeld,Maurice Obstfeld,Noise,,0,0
Tyrowicz J,Tyrowicz J,Noise,,0,0
Metelska-szaniawska K,Metelska-szaniawska K,Noise,,0,0
Leszek Balcerowicz,Leszek Balcerowicz,Noise,,0,0
Karol Strzelinski,Karol Strzelinski,Noise,,0,0
Kopanska A,Kopanska A,Noise,,0,0
ukasz Arendt,ukasz Arendt,Noise,,0,0
Topor-madry R,Topor-madry R,Noise,,0,0
Dorota Stuglik,Dorota Stuglik,Noise,,0,0
Paul Robin krugman,Paul Robin krugman,Noise,,0,0
Marcin Grela,Marcin Grela,Noise,,0,0
Wojciech Mroczek,Wojciech Mroczek,Noise,,0,0
Stazka-gawrysiak Agnieszka,Stazka-gawrysiak Agnieszka,Noise,,0,0
Helena Poetschke,Helena Poetschke,Noise,,0,0
Marek Masztalerz,Marek Masztalerz,Noise,,0,0
Bierut Beata,Bierut Beata,Noise,,0,0
Markus Michael grabka,Markus Michael grabka,Noise,,0,0
Czapinski J,Czapinski J,Noise,,0,0
Irene Bertschek,Irene Bertschek,Noise,,0,0
Slepaczuk R,Slepaczuk R,Noise,,0,0
Cieslik A,Cieslik A,Noise,,0,0
Gajderowicz T,Gajderowicz T,Noise,,0,0
Regulski A,Regulski A,Noise,,0,0
Krzysztof Witkowski,Krzysztof Witkowski,Noise,,0,0
Wodzimierz Siwinski,Wodzimierz Siwinski,Noise,,0,0
Tchorek Grzegorz,Tchorek Grzegorz,Noise,,0,0
Sledziewka-koodziejska K,Sledziewka-koodziejska K,Noise,,0,0
Marek Niechcia,Marek Niechcia,Noise,,0,0
Ashraf Ru,Ashraf Ru,Noise,,0,0
Schneider F,Schneider F,Noise,,0,0
Hagemejer Jan,Hagemejer Jan,Noise,,0,0
Micha Zarzycki,Micha Zarzycki,Noise,,0,0
Magdalena Kowalczyk,Magdalena Kowalczyk,Noise,,0,0
Joanna Kotowicz-jawor,Joanna Kotowicz-jawor,Noise,,0,0
Strzelecki P,Strzelecki P,Noise,,0,0
Witkowska E,Witkowska E,Noise,,0,0
Thomas H cochran,Thomas H cochran,Noise,,0,0
ukasz Matuszak,ukasz Matuszak,Noise,,0,0
Matuszak ,Matuszak ,Noise,,0,0
Wierus Kamil,Wierus Kamil,Noise,,0,0
Dorota Mirowska,Dorota Mirowska,Noise,,0,0
Anna Kosior,Anna Kosior,Noise,,0,0
Kulisiewicz T,Kulisiewicz T,Noise,,0,0
Wyszynski R,Wyszynski R,Noise,,0,0
Micha Rubaszek,Micha Rubaszek,Noise,,0,0
Broniatowska Paulina,Broniatowska Paulina,Noise,,0,0
Bartkiewicz P,Bartkiewicz P,Noise,,0,0
