Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,Id
Linda Laikre,Linda Laikre,Noise,,1,1,linda laikre
Brian R mackenzie,Brian R mackenzie,Noise,,1,1,brian r mackenzie
Piotr Margonski,Piotr Margonski,Noise,,1,1,piotr margonski
Frank Melzner,Frank Melzner,Noise,,1,1,frank melzner
Jacob Carstensen,Jacob Carstensen,Noise,,1,1,jacob carstensen
Helen C andersson,Helen C andersson,Noise,,1,1,helen c andersson
Adriana Wloka,Adriana Wloka,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,adriana wloka
Katarzyna Dziewanowska,Katarzyna Dziewanowska,Noise,,1,1,katarzyna dziewanowska
Tomasz Tratkiewicz,Tomasz Tratkiewicz,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,tomasz tratkiewicz
Anna Michalak,Anna Michalak,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,anna michalak
Aleksandra Banasiewicz,Aleksandra Banasiewicz,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,aleksandra banasiewicz
Pawel Sliwinski,Pawel Sliwinski,Noise,,1,1,pawel sliwinski
Agnieszka Allen,Agnieszka Allen,Noise,,1,1,agnieszka allen
Jan Dierking,Jan Dierking,Noise,,1,1,jan dierking
Waldemar Koziol,Waldemar Koziol,Noise,,1,1,waldemar koziol
Michal Kurtyka,Michal Kurtyka,Noise,,1,1,michal kurtyka
Filip Targowski,Filip Targowski,Noise,,1,1,filip targowski
Sadananda Prusty,Sadananda Prusty,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,sadananda prusty
Anna Bialek-jaworska,Anna Bialek-jaworska,Noise,,1,1,anna bialekjaworska
Thorsten Bh reusch,Thorsten Bh reusch,Noise,,1,1,thorsten bh reusch
Daniel Oesterwind,Daniel Oesterwind,Noise,,1,1,daniel oesterwind
Henn Ojaveer,Henn Ojaveer,Noise,,1,1,henn ojaveer
Jens Christian refsgaard,Jens Christian refsgaard,Noise,,1,1,jens christian refsgaard
Braun-kohlova M,Braun-kohlova M,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,braunkohlova m
Aleksandra Wasowicz,Aleksandra Wasowicz,Noise,,1,1,aleksandra wasowicz
Miko_aj Czajkowski,Miko_aj Czajkowski,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,miko_aj czajkowski
Desaigues B,Desaigues B,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,desaigues b
Ami D,Ami D,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,ami d
Chilton S,Chilton S,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,chilton s
Annica Sandstrom,Annica Sandstrom,Noise,,1,1,annica sandstrom
Farreras V,Farreras V,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,farreras v
Alistair Hunt,Alistair Hunt,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,alistair hunt
Hutchison M,Hutchison M,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,hutchison m
Jeanrenaud C,Jeanrenaud C,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,jeanrenaud c
Kaderjak P,Kaderjak P,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,kaderjak p
Martina Donatoni,Martina Donatoni,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,martina donatoni
Julia Martin-ortega,Julia Martin-ortega,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,julia martinortega
Michela Faccioli,Michela Faccioli,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,michela faccioli
Mara Thiene,Mara Thiene,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,mara thiene
Julian Sagebiel,Julian Sagebiel,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,julian sagebiel
Soren Boye olsen,Soren Boye olsen,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,soren boye olsen
Ulf Liebe,Ulf Liebe,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,ulf liebe
Jette Bredahl jacobsen,Jette Bredahl jacobsen,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,jette bredahl jacobsen
Pierluigi Pretegiani,Pierluigi Pretegiani,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,pierluigi pretegiani
Thijs Dekker,Thijs Dekker,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,thijs dekker
Ewa Zaczynska,Ewa Zaczynska,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,ewa zaczynska
David Hoyos,David Hoyos,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,david hoyos
Petr Mariel,Petr Mariel,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,petr mariel
Marianne Zandersen,Marianne Zandersen,Noise,,1,1,marianne zandersen
Monika Winder,Monika Winder,Noise,,1,1,monika winder
Karin Tonderski,Karin Tonderski,Noise,,1,1,karin tonderski
Gerald Schwarz,Gerald Schwarz,Noise,,1,1,gerald schwarz
Justyna Molska,Justyna Molska,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,justyna molska
Gianluigi Coppola,Gianluigi Coppola,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,gianluigi coppola
Luisa Araujo,Luisa Araujo,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,luisa araujo
Anna Maliszewka,Anna Maliszewka,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,anna maliszewka
Dominik Ogonowski,Dominik Ogonowski,Noise,,1,1,dominik ogonowski
Jakub Sztachelski,Jakub Sztachelski,Noise,,1,1,jakub sztachelski
Piotr Wojewnik,Piotr Wojewnik,Noise,,1,1,piotr wojewnik
Buczynski M chlebus m,Buczynski M chlebus m,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,buczynski m chlebus m
Filip Szubzda,Filip Szubzda,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,filip szubzda
Marta Klosok,Marta Klosok,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,marta klosok
Anna Burdzinska,Anna Burdzinska,Noise,,1,1,anna burdzinska
Alicja Gosiewska,Alicja Gosiewska,Noise,,1,1,alicja gosiewska
Agnieszka Kulesza,Agnieszka Kulesza,Noise,,1,1,agnieszka kulesza
Beata Kaleta,Beata Kaleta,Noise,,1,1,beata kaleta
Jan Borysowski,Jan Borysowski,Noise,,1,1,jan borysowski
Aleksandra Zolocinska,Aleksandra Zolocinska,Noise,,1,1,aleksandra zolocinska
Leszek Paczek,Leszek Paczek,Noise,,1,1,leszek paczek
Irena E kotowska,Irena E kotowska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,irena e kotowska
Anna Kozak,Anna Kozak,Noise,,1,1,anna kozak
Magdalena Michalejko,Magdalena Michalejko,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,magdalena michalejko
Sergio Destefanis,Sergio Destefanis,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,sergio destefanis
Slawomir Cieslak,Slawomir Cieslak,Noise,,1,1,slawomir cieslak
Claus Brand,Claus Brand,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,claus brand
Adrian Penalver,Adrian Penalver,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,adrian penalver
Aneta Blazejowska,Aneta Blazejowska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,aneta blazejowska
Kamila Kuziemska-pawlak,Kamila Kuziemska-pawlak,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,kamila kuziemskapawlak
Maciej Osiewicz,Maciej Osiewicz,Noise,,1,1,maciej osiewicz
Roman Topor-madry,Roman Topor-madry,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,roman topormadry
Przemyslaw Biecek,Przemyslaw Biecek,Noise,,1,1,przemyslaw biecek
Maja Rynko,Maja Rynko,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,maja rynko
Marta Palczynska,Marta Palczynska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,marta palczynska
Wojciech Paczynski,Wojciech Paczynski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,wojciech paczynski
Tadeusz Jedrzejczyk,Tadeusz Jedrzejczyk,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,tadeusz jedrzejczyk
Monika Oczkowska,Monika Oczkowska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,monika oczkowska
Mateusz Najsztub,Mateusz Najsztub,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,mateusz najsztub
Dorota Holzer-zelazewska,Dorota Holzer-zelazewska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,dorota holzerzelazewska
Yaroslav Sanchak,Yaroslav Sanchak,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,yaroslav sanchak
Agnieszka Chlon-dominczak,Agnieszka Chlon-dominczak,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,agnieszka chlondominczak
Christopher Kobierzycki,Christopher Kobierzycki,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,christopher kobierzycki
Barbara Gornicka,Barbara Gornicka,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,barbara gornicka
Stefan Cylwik,Stefan Cylwik,Noise,,1,1,stefan cylwik
Renata Gabryelczyk,Renata Gabryelczyk,Noise,,1,1,renata gabryelczyk
Mateusz Buczynski,Mateusz Buczynski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,mateusz buczynski
Piotr Borowski,Piotr Borowski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,piotr borowski
Maciej Stoklosa,Maciej Stoklosa,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,maciej stoklosa
Kacper Ostrowski,Kacper Ostrowski,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,kacper ostrowski
Pawel Majczak,Pawel Majczak,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,pawel majczak
Joanna Swiesciak,Joanna Swiesciak,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,joanna swiesciak
Mateusz Kopyt,Mateusz Kopyt,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,mateusz kopyt
Sebastien Bourdin,Sebastien Bourdin,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,sebastien bourdin
Anna Cyganek,Anna Cyganek,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,anna cyganek
Illya Barziy,Illya Barziy,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,illya barziy
Michal Kruk,Michal Kruk,Noise,,1,1,michal kruk
Albina Jegorowa,Albina Jegorowa,Noise,,1,1,albina jegorowa
Michal Korycki,Michal Korycki,Noise,,1,1,michal korycki
Kamila Kontna,Kamila Kontna,Noise,,1,1,kamila kontna
Katarzyna Chyrowicz,Katarzyna Chyrowicz,Noise,,1,1,katarzyna chyrowicz
Grzegorz Wieczorek,Grzegorz Wieczorek,Noise,,1,1,grzegorz wieczorek
Michal Dyczko,Michal Dyczko,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,michal dyczko
Agnieszka Cudnoch-jedrzejewska,Agnieszka Cudnoch-jedrzejewska,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,agnieszka cudnochjedrzejewska
Walkowiak W,Walkowiak W,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,walkowiak w
Katarzyna Czarzasta,Katarzyna Czarzasta,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,katarzyna czarzasta
Agata Gondek,Agata Gondek,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,agata gondek
Monika Serafin,Monika Serafin,Noise,,1,1,monika serafin
Anita Abramowska-kmon,Anita Abramowska-kmon,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,anita abramowskakmon
Malgorzata Bala,Malgorzata Bala,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,malgorzata bala
Richard C torrisi,Richard C torrisi,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",1,1,torrisi richard c
